Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
7,1645024755925,16/02/2022 15:19:15,1645024755642,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,5,2
8,1645024755925,16/02/2022 15:19:15,1645024755642,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,6,6
9,1645024755925,16/02/2022 15:19:15,1645024755643,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,7,3
10,1645024755925,16/02/2022 15:19:15,1645024755643,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,8,3
11,1645024755925,16/02/2022 15:19:15,1645024755643,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,9,6
12,1645024755925,16/02/2022 15:19:15,1645024755643,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,10,5
13,1645024755925,16/02/2022 15:19:15,1645024755643,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,11,3
14,1645024755925,16/02/2022 15:19:15,1645024755644,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,12,4
15,1645024755925,16/02/2022 15:19:15,1645024755644,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,13,2
16,1645024755925,16/02/2022 15:19:15,1645024755644,1,16/02/2022 16:19:15,73265,15,questionnaire-ty7a,,19498715,BLIND,5767691,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.99,1920x1080,1920x1001,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,0-quantised,6
